,vessel.mmsi,vessel.name,vessel.flag
25888,355317000,ORIENTAL  CHILAN,PAN
25892,515863000,YONG XIANG 7,KHM
25893,259076000,SEIHAV,NOR
25894,273426000,PYOTR GUSENKOV,RUS
25927,355513000,FENG YU,PAN
25942,431100974,INARIMARU NO.76,JPN
25950,431009405,NARITAFUDOUMARU NO.8,JPN
25962,273411780,OSTROVNOY-7,RUS
25971,354716000,HAI FENG 648,PAN
26026,636017709,WEI LI,LBR
26052,273811020,KAPITAN PRYAKHA,RUS
26317,354493000,MABAH,PAN
26346,273354560,NAGORSK,RUS
26347,374610000,HAI FENG 678,PAN
26557,576195000,LA MANCHE,VUT
26633,351747000,FRIO AEGEAN 1,PAN
26648,367108640,BARWELL,USA
26672,273432340,NOVA ZEELANDIA,RUS
26674,273827710,TITANIYA,RUS
26711,725000930,CACIQUE I,CHL
26720,440237000,OCEANUS,KOR
26887,372210000,SEA STAR V,PAN
26898,412440687,FU YUAN YU YUN 995,CHN
27018,525004615,HASIL MELIMPAH III A,IDN
27019,374769000,GRANADA CARRIER,PAN
27031,412336769,LURONGYUANYUYUN177,CHN
27116,529086000,SHIN HO CHUN NO.102,KIR
27119,371500000,CHIKUMA,PAN
27200,273856100,DALMOS,RUS
27326,273310720,GENNADY VODOLAZSKIY,RUS
27551,273312280,KOMETA,RUS
27563,352247000,FONG KUO NO.818,PAN
27621,577161000,HSIANG FU,VUT
27683,351336000,WINDRAY REEFER,PAN
27745,412549405,FU YUAN YU LENG 222,CHN
27750,277397000,CASSIOPEA,LTU
27784,353901000,HONGYING,PAN
27804,412440493,FU YUAN YU LENG 999,CHN
27814,273398640,VYBORG,RUS
28014,341443000,HAI FENG 898,KNA
28015,273847200,VICTOR GAVRILOV,RUS
28984,273812710,VSEVOLOD SIBIRTSEV,RUS
29987,374996000,FRIO GALICIA,PAN
30012,416778000,WIN SHUEN SHING,TWN
30076,525700328,KM.SANJAYA-16,IDN
30077,229644000,SARONIC BREEZE,MLT
30079,351527000,OCEAN MARINER,PAN
30084,316028366,AMARISSA JOYE,CAN
30102,224261000,CEDES,ESP
30104,616401000,SILVER ICE,COM
30114,273819710,SUBARU,RUS
30199,431009923,INARIMARU NO.78,JPN
30217,273344630,MAJESTIC,RUS
30223,367081420,TUXEDNI,USA
30273,311042400,GREEN MALOY,BHS
